                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.467,                 3.5773,                 1.8229,                0.00495,                      1,                0.09017,                0.03354,                 1.0617,                 3.9137,                 1.6356,              7.145e-05,              7.145e-05,              7.145e-05
                      1,                 1.1694,                 3.1339,                 1.4665,                0.00496,                      1,                0.51445,                 0.2903,                0.66685,                 3.5259,                 1.2065,             0.00015615,             0.00015615,             0.00015615
                      2,                 1.0669,                 2.4479,                 1.3884,                0.00476,                      1,                0.43382,                0.29392,                0.75954,                 3.4576,                 1.2607,             0.00023972,             0.00023972,             0.00023972
                      3,                 0.9798,                 2.0069,                 1.2997,                0.00437,                      1,                0.43251,                0.33157,                0.74455,                 3.4001,                 1.3522,             0.00032216,             0.00032216,             0.00032216
                      4,                0.97056,                 1.8941,                 1.3094,                0.00404,                      1,                0.44085,                0.32013,                0.85836,                  3.397,                 1.4278,             0.00040347,             0.00040347,             0.00040347
                      5,                0.94244,                 1.8022,                 1.2822,                0.00442,                      1,                0.59787,                0.40734,                0.84386,                 3.2225,                 1.4036,             0.00048365,             0.00048365,             0.00048365
                      6,                0.95701,                 1.7478,                 1.2988,                0.00468,                      1,                0.64255,                0.30711,                 1.0651,                 3.5326,                 1.6357,             0.00056269,             0.00056269,             0.00056269
                      7,                 1.0278,                 1.6784,                 1.2936,                0.00452,                      1,                0.47564,                 0.2744,                 1.1674,                 3.4399,                 1.7021,              0.0006406,              0.0006406,              0.0006406
                      8,                 1.0466,                 1.6553,                 1.2908,                0.61112,                0.28504,                0.50374,                0.33983,                0.91312,                 3.4994,                 1.5513,             0.00071738,             0.00071738,             0.00071738
                      9,                0.90263,                  1.585,                 1.1578,                0.49361,                0.67172,                0.56517,                0.36519,                 1.1315,                 3.3344,                 1.7942,             0.00079303,             0.00079303,             0.00079303
                     10,                0.96985,                 1.6095,                 1.1994,                0.59795,                0.52525,                0.52077,                0.30594,                 1.3455,                  3.146,                 1.9865,             0.00086755,             0.00086755,             0.00086755
                     11,                 1.0378,                 1.5871,                 1.2808,                0.82725,                0.51111,                 0.5846,                 0.3341,                 1.3051,                 2.9716,                   1.94,             0.00094093,             0.00094093,             0.00094093
                     12,                0.99634,                 1.4901,                 1.2564,                0.80197,                0.38889,                0.41581,                0.15838,                 1.8956,                 4.6577,                 2.7094,              0.0010132,              0.0010132,              0.0010132
                     13,                0.98162,                  1.445,                 1.2565,                 0.7582,                0.11111,                0.17854,                0.03685,                 2.9703,                  3.846,                 4.5146,              0.0010843,              0.0010843,              0.0010843
                     14,                0.98856,                 1.4785,                 1.2769,                0.75079,                0.16667,                0.21031,                0.08925,                 2.6631,                 3.7586,                 4.0078,              0.0011543,              0.0011543,              0.0011543
                     15,                0.98517,                 1.3577,                 1.2724,                0.76881,                0.13201,                0.16553,                0.09516,                 2.0874,                 3.7652,                 2.9576,              0.0012232,              0.0012232,              0.0012232
                     16,                0.97748,                 1.3952,                 1.2601,                0.66318,                0.22222,                0.29811,                0.14583,                 1.7619,                 3.4991,                 2.4295,              0.0012781,              0.0012781,              0.0012781
                     17,                 0.9253,                 1.3607,                 1.2158,                0.47546,                0.47105,                0.51516,                0.21164,                 1.9626,                 3.1898,                  2.759,              0.0012781,              0.0012781,              0.0012781
                     18,                0.96523,                 1.3877,                 1.2207,                0.59612,                0.47775,                0.51936,                0.25413,                 1.8213,                 3.2529,                 2.5593,              0.0012687,              0.0012687,              0.0012687
                     19,                0.99163,                 1.4277,                 1.2731,                      1,                0.44283,                0.66235,                0.33478,                  1.552,                 3.1202,                 2.1597,              0.0012592,              0.0012592,              0.0012592
                     20,                 1.0179,                 1.4058,                 1.3008,                      1,                 0.4305,                0.77184,                0.46223,                 1.4603,                 2.7568,                  2.035,              0.0012498,              0.0012498,              0.0012498
                     21,                0.96182,                 1.4054,                 1.2646,                0.69565,                0.57306,                0.69247,                0.33678,                 1.6326,                 2.5307,                 2.2177,              0.0012404,              0.0012404,              0.0012404
                     22,                0.96252,                 1.2992,                 1.2225,                0.70923,                0.61268,                0.76185,                0.34318,                 1.6562,                 2.6466,                 2.2551,              0.0012309,              0.0012309,              0.0012309
                     23,                  0.886,                 1.2299,                 1.1828,                0.86375,                0.67172,                0.78317,                0.50798,                 1.4529,                  2.195,                 2.1028,              0.0012215,              0.0012215,              0.0012215
                     24,                0.94793,                  1.248,                 1.2447,                0.78557,                0.81111,                  0.875,                0.57783,                  1.251,                 1.9274,                 1.9403,              0.0012121,              0.0012121,              0.0012121
                     25,                0.94532,                 1.2318,                 1.2473,                0.89316,                 0.5749,                0.78777,                0.51773,                 1.4054,                 2.1366,                 2.1207,              0.0012026,              0.0012026,              0.0012026
                     26,                0.94624,                 1.2785,                 1.1885,                0.75692,                0.58399,                0.74339,                0.52994,                 1.3442,                 2.1256,                 2.0141,              0.0011932,              0.0011932,              0.0011932
                     27,                 1.0081,                  1.319,                 1.2602,                0.71646,                0.62626,                0.75788,                0.46072,                 1.4761,                 2.0351,                 2.1708,              0.0011838,              0.0011838,              0.0011838
                     28,                0.87428,                  1.182,                 1.1762,                0.59446,                0.76263,                0.75687,                0.40519,                 1.6449,                 2.0892,                 2.4759,              0.0011744,              0.0011744,              0.0011744
                     29,                0.89045,                 1.1927,                 1.1911,                0.74751,                0.36364,                0.47022,                0.29016,                 1.2687,                 2.8793,                 1.9095,              0.0011649,              0.0011649,              0.0011649
                     30,                0.86487,                 1.1438,                 1.1367,                0.38252,                0.53894,                0.39498,                0.26537,                 1.1004,                 3.0683,                 1.7009,              0.0011555,              0.0011555,              0.0011555
                     31,                0.94242,                 1.1296,                 1.2171,                0.41221,                0.68687,                0.48786,                0.35172,                 1.0058,                 3.2005,                 1.5338,              0.0011461,              0.0011461,              0.0011461
                     32,                0.93906,                 1.1383,                 1.2154,                0.42432,                0.64655,                 0.5129,                0.38281,                 1.0424,                 3.3141,                 1.5132,              0.0011366,              0.0011366,              0.0011366
                     33,                0.90376,                  1.069,                 1.2198,                0.63993,                0.42424,                0.54571,                 0.3436,                 1.2135,                 2.8904,                 1.6585,              0.0011272,              0.0011272,              0.0011272
                     34,                0.88168,                 1.0207,                 1.1596,                0.46868,                0.51515,                0.45631,                0.33008,                 1.1443,                 2.7875,                 1.6413,              0.0011178,              0.0011178,              0.0011178
                     35,                0.93426,                  1.074,                 1.1655,                0.51402,                0.73491,                0.54002,                0.38269,                 1.1614,                 2.7088,                 1.7381,              0.0011083,              0.0011083,              0.0011083
                     36,                0.85452,                 1.0177,                  1.119,                0.48409,                0.61451,                0.52569,                0.34532,                 1.2228,                 2.6306,                 1.8629,              0.0010989,              0.0010989,              0.0010989
                     37,                0.87647,                 1.0002,                 1.1713,                 0.6219,                0.50936,                 0.5771,                0.40886,                 1.1738,                 3.6533,                 1.7981,              0.0010895,              0.0010895,              0.0010895
                     38,                0.89272,                 1.0163,                 1.1863,                0.74502,                0.44444,                0.57594,                0.41451,                  1.144,                 3.3421,                 1.7573,                0.00108,                0.00108,                0.00108
                     39,                 0.8907,                 1.1364,                 1.1915,                0.69213,                0.51826,                0.55868,                0.40402,                 1.2546,                 2.6593,                 1.8892,              0.0010706,              0.0010706,              0.0010706
                     40,                0.85274,                 0.9451,                  1.133,                0.47144,                0.58081,                0.57383,                0.36522,                 1.2808,                 2.4206,                 1.8785,              0.0010612,              0.0010612,              0.0010612
                     41,                0.86096,                 1.0216,                 1.1279,                0.82775,                0.52525,                0.77707,                0.49899,                 1.2473,                 2.2631,                 1.7629,              0.0010517,              0.0010517,              0.0010517
                     42,                 0.8677,                 0.9846,                 1.1478,                0.77207,                0.63055,                0.77392,                 0.5466,                 1.1153,                 2.3238,                 1.6221,              0.0010423,              0.0010423,              0.0010423
                     43,                0.87423,                0.97467,                 1.1905,                0.60984,                0.58572,                0.55652,                0.38748,                  1.194,                 2.6206,                  1.662,              0.0010329,              0.0010329,              0.0010329
                     44,                0.83615,                0.97384,                 1.1568,                0.46365,                0.53905,                 0.5076,                0.34362,                 1.2208,                 2.6641,                 1.6895,              0.0010234,              0.0010234,              0.0010234
                     45,                0.86499,                0.93829,                 1.1757,                 0.3456,                0.32323,                0.39754,                0.27081,                 1.4552,                 3.0514,                 1.9402,               0.001014,               0.001014,               0.001014
                     46,                0.85394,                0.91592,                 1.1431,                0.44142,                0.22222,                0.38691,                 0.2347,                 1.7171,                 3.2448,                 2.2463,              0.0010046,              0.0010046,              0.0010046
                     47,                0.93185,                 1.0202,                 1.2111,                0.41652,                0.22222,                0.39849,                  0.254,                 1.6092,                 3.2809,                 2.1661,             0.00099516,             0.00099516,             0.00099516
                     48,                0.83267,                0.89513,                 1.1398,                0.52211,                0.37316,                0.45147,                0.30347,                 1.4538,                 2.8784,                 1.9995,             0.00098572,             0.00098572,             0.00098572
                     49,                0.79929,                0.87976,                 1.0948,                0.49899,                0.70707,                0.65128,                0.43934,                 1.2269,                 1.8717,                 1.7212,             0.00097629,             0.00097629,             0.00097629
                     50,                0.80861,                0.90169,                 1.1655,                0.52903,                0.68876,                0.56936,                0.38487,                   1.16,                 2.1045,                 1.6459,             0.00096686,             0.00096686,             0.00096686
                     51,                0.75491,                0.85522,                 1.0748,                 0.5035,                0.55051,                0.48664,                0.34086,                 1.0769,                 2.5015,                 1.6184,             0.00095743,             0.00095743,             0.00095743
                     52,                 0.7461,                0.75301,                 1.0489,                0.46095,                0.50505,                0.43867,                0.33477,                 1.1471,                 2.5825,                 1.6641,               0.000948,               0.000948,               0.000948
                     53,                0.81821,                0.80661,                   1.12,                0.71845,                0.40404,                0.55366,                0.39641,                 1.1018,                 2.3731,                 1.6051,             0.00093857,             0.00093857,             0.00093857
                     54,                0.81093,                0.80598,                 1.1442,                 0.7592,                0.47215,                0.65957,                0.48558,                0.99586,                 2.0222,                  1.506,             0.00092914,             0.00092914,             0.00092914
                     55,                0.88755,                0.87379,                 1.1547,                0.86929,                0.75274,                0.86634,                0.64836,                0.97815,                 1.3694,                 1.5175,              0.0009197,              0.0009197,              0.0009197
                     56,                0.82412,                 0.8591,                 1.1573,                0.77766,                0.85354,                  0.897,                0.67551,                0.98976,                 1.2649,                 1.5541,             0.00091027,             0.00091027,             0.00091027
                     57,                0.84459,                0.81934,                 1.1296,                 0.7116,                0.83262,                0.87802,                0.62104,                 1.1316,                 1.4262,                 1.7321,             0.00090084,             0.00090084,             0.00090084
                     58,                0.82697,                0.85461,                 1.1414,                0.75354,                0.92348,                0.88687,                0.63744,                 1.0344,                 1.3506,                 1.6421,             0.00089141,             0.00089141,             0.00089141
                     59,                0.79179,                0.79378,                 1.1572,                0.80476,                0.76055,                0.85089,                0.59181,                 1.0611,                 1.5596,                 1.5667,             0.00088198,             0.00088198,             0.00088198
                     60,                0.73416,                0.76883,                 1.0753,                0.71509,                0.74047,                0.77526,                0.55529,                 1.0993,                 1.9312,                 1.6369,             0.00087255,             0.00087255,             0.00087255
                     61,                0.78182,                 0.7383,                 1.0959,                 0.6739,                0.76955,                0.76121,                0.51448,                  1.113,                 2.0981,                 1.6569,             0.00086312,             0.00086312,             0.00086312
                     62,                0.77694,                0.73443,                 1.0853,                0.67518,                0.74017,                0.72875,                0.52019,                 1.0633,                 2.0361,                 1.5952,             0.00085368,             0.00085368,             0.00085368
                     63,                0.77417,                0.77169,                 1.1373,                 0.7491,                0.56566,                0.55329,                0.41132,                0.96877,                 2.1077,                 1.5177,             0.00084425,             0.00084425,             0.00084425
                     64,                0.76628,                0.68687,                 1.0931,                 0.7397,                0.56124,                0.51996,                0.40107,                0.97659,                 2.1653,                 1.4944,             0.00083482,             0.00083482,             0.00083482
                     65,                0.76351,                0.70288,                 1.0917,                0.74002,                 0.5202,                 0.5696,                0.42345,                  1.027,                 2.0097,                  1.511,             0.00082539,             0.00082539,             0.00082539
                     66,                0.77424,                0.79483,                  1.104,                 0.5934,                0.86754,                0.69877,                0.48973,                 1.0908,                 1.6618,                 1.6008,             0.00081596,             0.00081596,             0.00081596
                     67,                0.70609,                0.74369,                 1.0367,                0.84346,                0.85354,                0.85478,                0.59567,                 1.1287,                 1.2813,                 1.6618,             0.00080653,             0.00080653,             0.00080653
                     68,                0.67164,                0.64663,                 1.0392,                0.83233,                0.85354,                0.85536,                0.59499,                 1.1758,                 1.2427,                 1.7084,              0.0007971,              0.0007971,              0.0007971
                     69,                0.75935,                 0.7288,                 1.1262,                0.82126,                0.86536,                0.85771,                0.62402,                 1.1311,                 1.1439,                  1.647,             0.00078766,             0.00078766,             0.00078766
                     70,                  0.666,                0.65917,                 1.0265,                0.80867,                0.83768,                0.90258,                0.62698,                 1.0742,                  1.152,                 1.5564,             0.00077823,             0.00077823,             0.00077823
                     71,                0.70761,                0.72184,                 1.0727,                0.68422,                0.98207,                0.87932,                0.62688,                 1.0247,                 1.1977,                 1.4928,              0.0007688,              0.0007688,              0.0007688
                     72,                0.74308,                 0.7024,                 1.0575,                0.78254,                0.78788,                0.84616,                0.62564,                0.96425,                 1.2996,                 1.4411,             0.00075937,             0.00075937,             0.00075937
                     73,                0.69938,                 0.6568,                 1.0741,                0.63872,                0.87891,                0.78377,                0.57187,                  1.008,                 1.4239,                 1.5025,             0.00074994,             0.00074994,             0.00074994
                     74,                0.71707,                 0.6735,                 1.0849,                0.59981,                0.87224,                0.77039,                0.56271,                0.98966,                 1.4773,                 1.4733,             0.00074051,             0.00074051,             0.00074051
                     75,                0.72668,                0.72984,                 1.0656,                0.68147,                0.79593,                0.78156,                0.53963,                 1.0296,                 1.5068,                 1.5359,             0.00073108,             0.00073108,             0.00073108
                     76,                0.69832,                0.70742,                 1.0737,                0.66058,                 0.7517,                0.78792,                0.54042,                 1.0605,                 1.5638,                 1.5682,             0.00072164,             0.00072164,             0.00072164
                     77,                0.68182,                0.65933,                 1.0235,                0.88009,                0.55164,                 0.7525,                 0.5145,                 1.0596,                 1.6659,                 1.5771,             0.00071221,             0.00071221,             0.00071221
                     78,                0.70043,                0.68267,                 1.0824,                0.62714,                0.79007,                0.79771,                0.54896,                 1.0786,                 1.5442,                 1.5968,             0.00070278,             0.00070278,             0.00070278
                     79,                0.65419,                0.67189,                 1.0413,                 0.7679,                0.83201,                0.89075,                0.60566,                 1.1971,                 1.3043,                 1.6966,             0.00069335,             0.00069335,             0.00069335
                     80,                0.65257,                0.60739,                 1.0294,                0.85176,                0.75253,                0.88217,                0.57915,                 1.2359,                 1.3359,                 1.7234,             0.00068392,             0.00068392,             0.00068392
                     81,                0.65566,                0.62977,                 1.0573,                0.81875,                0.79745,                0.87739,                0.56217,                 1.2328,                 1.3704,                 1.7516,             0.00067449,             0.00067449,             0.00067449
                     82,                0.74331,                 0.6406,                 1.0733,                0.83187,                0.75253,                0.88535,                0.55961,                 1.2452,                 1.2537,                 1.7941,             0.00066506,             0.00066506,             0.00066506
                     83,                 0.7261,                0.64248,                 1.0604,                0.80789,                0.75253,                0.84821,                0.57958,                 1.1381,                 1.2209,                 1.6423,             0.00065563,             0.00065563,             0.00065563
                     84,                0.69676,                0.67621,                 1.0734,                0.73714,                0.79798,                 0.8372,                0.62231,                 1.0404,                 1.2358,                 1.5714,             0.00064619,             0.00064619,             0.00064619
                     85,                0.64262,                0.64384,                 1.0661,                0.74782,                0.57576,                0.63516,                0.47309,                0.97194,                 1.9001,                 1.5154,             0.00063676,             0.00063676,             0.00063676
                     86,                0.69248,                0.58936,                 1.0683,                0.74491,                0.54424,                0.51889,                0.38222,                0.92857,                 2.3293,                 1.4732,             0.00062733,             0.00062733,             0.00062733
                     87,                0.68372,                0.65845,                 1.0938,                0.74884,                 0.5101,                0.49975,                0.34789,                 0.9379,                 2.4186,                  1.462,              0.0006179,              0.0006179,              0.0006179
                     88,                  0.625,                0.59657,                 1.0364,                0.73739,                 0.5101,                0.49481,                0.34839,                0.94374,                 2.3139,                  1.468,             0.00060847,             0.00060847,             0.00060847
                     89,                0.73067,                0.66664,                   1.04,                0.58298,                0.72087,                0.64762,                0.45885,                 0.9578,                 1.8747,                 1.4999,             0.00059904,             0.00059904,             0.00059904
                     90,                0.69556,                0.64994,                 1.0669,                0.62447,                0.85354,                0.69825,                0.48835,                0.94261,                 1.5718,                  1.488,             0.00058961,             0.00058961,             0.00058961
                     91,                0.66186,                0.59733,                  1.063,                0.68384,                0.71717,                0.80476,                0.58401,                0.93652,                 1.4456,                 1.5075,             0.00058017,             0.00058017,             0.00058017
                     92,                0.68012,                0.60218,                 1.0608,                0.69003,                0.73188,                0.80191,                0.56814,                0.99112,                 1.4176,                 1.5617,             0.00057074,             0.00057074,             0.00057074
                     93,                0.69674,                0.60554,                  1.063,                0.70016,                0.94139,                0.80194,                0.58828,                 1.0536,                 1.2342,                 1.6096,             0.00056131,             0.00056131,             0.00056131
                     94,                 0.6517,                0.58263,                 1.0095,                 0.7602,                0.94404,                0.83883,                  0.595,                 1.0526,                 1.2491,                 1.5898,             0.00055188,             0.00055188,             0.00055188
                     95,                0.64042,                0.58823,                 1.0451,                0.87619,                0.79576,                 0.8751,                0.58297,                 1.2031,                 1.3865,                 1.7447,             0.00054245,             0.00054245,             0.00054245
                     96,                0.68499,                0.62654,                 1.0497,                0.80603,                0.82987,                0.86023,                0.58717,                 1.1767,                 1.4216,                 1.7204,             0.00053302,             0.00053302,             0.00053302
                     97,                0.62168,                0.59501,                 1.0281,                0.83635,                0.75212,                0.81313,                0.57725,                 1.0606,                  1.486,                 1.6408,             0.00052359,             0.00052359,             0.00052359
                     98,                  0.624,                0.55887,                 1.0257,                0.78922,                0.70707,                0.78894,                0.55635,                 1.0707,                 1.5382,                 1.6437,             0.00051415,             0.00051415,             0.00051415
                     99,                0.61228,                0.55045,                 1.0172,                0.83665,                0.61003,                0.76813,                0.57632,                 1.0211,                 1.7075,                 1.5857,             0.00050472,             0.00050472,             0.00050472
                    100,                0.62455,                0.58196,                 1.0258,                0.67827,                0.76263,                0.76086,                0.57495,                 1.0537,                   1.76,                 1.6114,             0.00049529,             0.00049529,             0.00049529
                    101,                0.67192,                0.58708,                 1.0417,                0.64834,                0.80808,                0.74513,                0.53524,                  1.039,                 1.7866,                 1.5986,             0.00048586,             0.00048586,             0.00048586
                    102,                0.60796,                0.57501,                 1.0255,                0.64644,                0.80808,                0.71808,                0.52208,                 1.0197,                 1.7878,                  1.564,             0.00047643,             0.00047643,             0.00047643
                    103,                0.61298,                0.59958,                 1.0362,                0.61746,                0.80808,                0.65719,                0.47566,                 1.1303,                 1.7954,                 1.6398,               0.000467,               0.000467,               0.000467
                    104,                0.60319,                0.59078,                 1.0201,                0.58824,                0.77073,                0.65351,                0.45977,                 1.1462,                 1.7701,                 1.6556,             0.00045757,             0.00045757,             0.00045757
                    105,                0.65512,                 0.6032,                 1.0378,                0.57007,                0.75332,                0.63617,                0.40621,                 1.1912,                 1.7899,                 1.7125,             0.00044813,             0.00044813,             0.00044813
                    106,                 0.6085,                 0.5649,                 1.0172,                 0.5761,                0.71717,                0.65438,                0.41955,                 1.1822,                 1.8271,                 1.7062,              0.0004387,              0.0004387,              0.0004387
